Yr,Month,Fleet,Area,Length,Obs,Exp,Nsamp_adj
1999,11,1,1,220,0.0405351,0.0172005,0.001
1999,11,1,1,230,0.0405351,0.0099698,0.001
1999,11,1,1,240,9.97108e-05,0.00596501,0.001
1999,11,1,1,250,9.97108e-05,0.00332731,0.001
1999,11,1,1,260,9.97108e-05,0.00163845,0.001
1999,11,1,1,270,9.97108e-05,0.000718997,0.001
1999,11,1,1,280,9.97108e-05,0.000309131,0.001
1999,11,1,1,290,9.97108e-05,0.000159698,0.001
1999,11,1,1,300,9.97108e-05,0.00011444,0.001
1999,11,1,1,310,9.97108e-05,0.00010379,0.001
2001,8,1,1,30,9.97108e-05,0.000149947,0.001
2001,8,1,1,40,9.97108e-05,0.00114341,0.001
2001,8,1,1,50,0.0177969,0.00902284,0.001
2001,8,1,1,60,9.97108e-05,0.0297694,0.001
2001,8,1,1,70,0.00305218,0.0401629,0.001
2001,8,1,1,80,9.97108e-05,0.0292532,0.001
2001,8,1,1,90,0.0354941,0.0300589,0.001
2001,8,1,1,100,0.00600465,0.0464784,0.001
2001,8,1,1,110,0.0561439,0.056733,0.001
2001,8,1,1,120,0.0354941,0.0587586,0.001
2001,8,1,1,130,0.0384467,0.0662103,0.001
2001,8,1,1,140,0.0207494,0.0806009,0.001
2001,8,1,1,150,0.097461,0.093372,0.001
2001,8,1,1,160,0.194805,0.0968481,0.001
2001,8,1,1,170,0.289213,0.0912237,0.001
2001,8,1,1,180,0.0473041,0.0819949,0.001
2001,8,1,1,190,0.103348,0.0686928,0.001
2001,8,1,1,200,0.0177969,0.0492989,0.001
2001,8,1,1,210,0.0177969,0.0297568,0.001
2001,8,1,1,220,0.0177969,0.0168926,0.001
2001,8,1,1,230,9.97108e-05,0.0102378,0.001
2001,8,1,1,240,9.97108e-05,0.00637196,0.001
2001,8,1,1,250,9.97108e-05,0.0036444,0.001
2001,8,1,1,260,9.97108e-05,0.001813,0.001
2001,8,1,1,270,9.97108e-05,0.000791864,0.001
2001,8,1,1,280,9.97108e-05,0.000333104,0.001
2001,8,1,1,290,9.97108e-05,0.000166131,0.001
2001,8,1,1,300,9.97108e-05,0.00011589,0.001
2001,8,1,1,310,9.97108e-05,0.000104147,0.001
2011,2,1,1,30,9.97108e-05,0.00655591,0.001
2011,2,1,1,40,9.97108e-05,0.00208309,0.001
2011,2,1,1,50,9.97108e-05,0.000484754,0.001
2011,2,1,1,60,9.97108e-05,0.00327934,0.001
2011,2,1,1,70,0.0075408,0.0155252,0.001
2011,2,1,1,80,0.0521874,0.0387701,0.001
2011,2,1,1,90,0.0670697,0.0555908,0.001
2011,2,1,1,100,0.13404,0.0611162,0.001
2011,2,1,1,110,0.163804,0.0746234,0.001
2011,2,1,1,120,0.163804,0.0943327,0.001
2011,2,1,1,130,0.0745108,0.103428,0.001
2011,2,1,1,140,0.0521874,0.10009,0.001
2011,2,1,1,150,0.0447463,0.0919926,0.001
2011,2,1,1,160,0.0596285,0.0836272,0.001
2011,2,1,1,170,0.0670697,0.0763394,0.001
2011,2,1,1,180,0.0670697,0.0670224,0.001
2011,2,1,1,190,0.0224231,0.051957,0.001
2011,2,1,1,200,0.0149819,0.0336223,0.001
2011,2,1,1,210,0.0075408,0.0183497,0.001
2011,2,1,1,220,9.97108e-05,0.00936665,0.001
2011,2,1,1,230,9.97108e-05,0.00512723,0.001
2011,2,1,1,240,9.97108e-05,0.00302989,0.001
2011,2,1,1,250,9.97108e-05,0.00174898,0.001
2011,2,1,1,260,9.97108e-05,0.000921171,0.001
2011,2,1,1,270,9.97108e-05,0.000446469,0.001
2011,2,1,1,280,9.97108e-05,0.00022207,0.001
2011,2,1,1,290,9.97108e-05,0.000135976,0.001
2011,2,1,1,300,9.97108e-05,0.000108843,0.001
2011,2,1,1,310,9.97108e-05,0.00010229,0.001
2012,8,1,1,30,9.97108e-05,0.000131438,0.001
2012,8,1,1,40,9.97108e-05,0.000758929,0.001
2012,8,1,1,50,0.00483566,0.00573802,0.001
2012,8,1,1,60,0.00957165,0.018891,0.001
2012,8,1,1,70,0.0364577,0.0259157,0.001
2012,8,1,1,80,0.0474593,0.0213093,0.001
2012,8,1,1,90,0.101231,0.0280727,0.001
2012,8,1,1,100,0.129647,0.0484034,0.001
2012,8,1,1,110,0.0285155,0.0663237,0.001
2012,8,1,1,120,0.0680796,0.0802438,0.001
2012,8,1,1,130,0.0601374,0.0948551,0.001
2012,8,1,1,140,0.0885532,0.10401,0.001
2012,8,1,1,150,0.129647,0.105194,0.001
2012,8,1,1,160,0.0838172,0.10019,0.001
2012,8,1,1,170,0.0633437,0.0894964,0.001
2012,8,1,1,180,0.0665499,0.0744537,0.001
2012,8,1,1,190,9.97108e-05,0.0559793,0.001
2012,8,1,1,200,0.0237795,0.0363282,0.001
2012,8,1,1,210,0.057078,0.020284,0.001
2012,8,1,1,220,9.97108e-05,0.0105944,0.001
2012,8,1,1,230,9.97108e-05,0.00576824,0.001
2012,8,1,1,240,9.97108e-05,0.00328982,0.001
2012,8,1,1,250,9.97108e-05,0.00182438,0.001
2012,8,1,1,260,9.97108e-05,0.000932908,0.001
2012,8,1,1,270,9.97108e-05,0.000444802,0.001
2012,8,1,1,280,9.97108e-05,0.000220287,0.001
2012,8,1,1,290,9.97108e-05,0.000135337,0.001
2012,8,1,1,300,9.97108e-05,0.0001087,0.001
2012,8,1,1,310,9.97108e-05,0.000102269,0.001
2013,8,1,1,30,9.97108e-05,0.000127197,0.001
2013,8,1,1,40,9.97108e-05,0.000670866,0.001
2013,8,1,1,50,9.97108e-05,0.00498712,0.001
2013,8,1,1,60,9.97108e-05,0.0164314,0.001
2013,8,1,1,70,0.0210181,0.0229657,0.001
2013,8,1,1,80,0.00707247,0.0211269,0.001
2013,8,1,1,90,0.0698276,0.0322819,0.001
2013,8,1,1,100,0.0907459,0.0554508,0.001
2013,8,1,1,110,0.153501,0.0700273,0.001
2013,8,1,1,120,0.209283,0.0745968,0.001
2013,8,1,1,130,0.0349636,0.0815398,0.001
2013,8,1,1,140,0.0419364,0.0909894,0.001
2013,8,1,1,150,0.0279909,0.0986611,0.001
2013,8,1,1,160,0.0698276,0.101435,0.001
2013,8,1,1,170,0.0768003,0.0962033,0.001
2013,8,1,1,180,0.055882,0.0826277,0.001
2013,8,1,1,190,0.0349636,0.0623962,0.001
2013,8,1,1,200,0.0279909,0.0400537,0.001
2013,8,1,1,210,0.0489092,0.0220937,0.001
2013,8,1,1,220,0.00707247,0.0115127,0.001
2013,8,1,1,230,0.00707247,0.00629931,0.001
2013,8,1,1,240,9.97108e-05,0.00357638,0.001
2013,8,1,1,250,0.00707247,0.00194799,0.001
2013,8,1,1,260,9.97108e-05,0.000973957,0.001
2013,8,1,1,270,9.97108e-05,0.000455283,0.001
2013,8,1,1,280,0.00707247,0.000222326,0.001
2013,8,1,1,290,9.97108e-05,0.000135623,0.001
2013,8,1,1,300,9.97108e-05,0.000108722,0.001
2013,8,1,1,310,9.97108e-05,0.000102266,0.001
2014,2,1,1,30,9.97108e-05,0.00278721,0.001
2014,2,1,1,40,9.97108e-05,0.000931491,0.001
2014,2,1,1,50,0.0175929,0.000378981,0.001
2014,2,1,1,60,9.97108e-05,0.00257281,0.001
2014,2,1,1,70,0.035086,0.0121091,0.001
2014,2,1,1,80,0.0700722,0.0303103,0.001
2014,2,1,1,90,0.0175929,0.0440121,0.001
2014,2,1,1,100,0.035086,0.0500089,0.001
2014,2,1,1,110,0.22751,0.0629076,0.001
2014,2,1,1,120,0.175031,0.0796056,0.001
2014,2,1,1,130,0.0875653,0.0875715,0.001
2014,2,1,1,140,0.0875653,0.0899333,0.001
2014,2,1,1,150,0.052579,0.094602,0.001
2014,2,1,1,160,0.035086,0.0991827,0.001
2014,2,1,1,170,0.035086,0.0974051,0.001
2014,2,1,1,180,0.035086,0.0862336,0.001
2014,2,1,1,190,0.052579,0.0662546,0.001
2014,2,1,1,200,9.97108e-05,0.0427839,0.001
2014,2,1,1,210,0.035086,0.0235774,0.001
2014,2,1,1,220,9.97108e-05,0.0122435,0.001
2014,2,1,1,230,9.97108e-05,0.00668839,0.001
2014,2,1,1,240,9.97108e-05,0.003792,0.001
2014,2,1,1,250,9.97108e-05,0.00205321,0.001
2014,2,1,1,260,9.97108e-05,0.00101509,0.001
2014,2,1,1,270,9.97108e-05,0.00046767,0.001
2014,2,1,1,280,9.97108e-05,0.000225049,0.001
2014,2,1,1,290,9.97108e-05,0.000135975,0.001
2014,2,1,1,300,9.97108e-05,0.000108699,0.001
2014,2,1,1,310,9.97108e-05,0.00010222,0.001
2014,5,1,1,30,9.97108e-05,0.000213468,0.001
2014,5,1,1,40,9.97108e-05,0.00142676,0.001
2014,5,1,1,50,0.0137921,0.00506441,0.001
2014,5,1,1,60,0.0137921,0.00629374,0.001
2014,5,1,1,70,0.0309596,0.00681719,0.001
2014,5,1,1,80,0.0583442,0.0186195,0.001
2014,5,1,1,90,0.060082,0.0401256,0.001
2014,5,1,1,100,0.0411767,0.0562839,0.001
2014,5,1,1,110,0.029222,0.0652157,0.001
2014,5,1,1,120,0.104634,0.077354,0.001
2014,5,1,1,130,0.102896,0.0885246,0.001
2014,5,1,1,140,0.168092,0.092091,0.001
2014,5,1,1,150,0.0976835,0.0944515,0.001
2014,5,1,1,160,0.159403,0.0981121,0.001
2014,5,1,1,170,0.060082,0.0974358,0.001
2014,5,1,1,180,0.0429143,0.0876033,0.001
2014,5,1,1,190,0.0155297,0.0680712,0.001
2014,5,1,1,200,9.97108e-05,0.0442136,0.001
2014,5,1,1,210,9.97108e-05,0.0244071,0.001
2014,5,1,1,220,9.97108e-05,0.0126618,0.001
2014,5,1,1,230,9.97108e-05,0.00690423,0.001
2014,5,1,1,240,9.97108e-05,0.00390773,0.001
2014,5,1,1,250,9.97108e-05,0.00211044,0.001
2014,5,1,1,260,9.97108e-05,0.00103925,0.001
2014,5,1,1,270,9.97108e-05,0.000476356,0.001
2014,5,1,1,280,9.97108e-05,0.000227798,0.001
2014,5,1,1,290,9.97108e-05,0.000136766,0.001
2014,5,1,1,300,9.97108e-05,0.000108908,0.001
2014,5,1,1,310,9.97108e-05,0.000102287,0.001
2018,8,1,1,30,9.97108e-05,0.000134496,0.001
2018,8,1,1,40,0.0131445,0.000822496,0.001
2018,8,1,1,50,0.0760449,0.00628263,0.001
2018,8,1,1,60,0.102135,0.020723,0.001
2018,8,1,1,70,0.0867657,0.0285985,0.001
2018,8,1,1,80,0.0974866,0.024333,0.001
2018,8,1,1,90,0.131973,0.033275,0.001
2018,8,1,1,100,0.0238654,0.0549865,0.001
2018,8,1,1,110,9.97108e-05,0.066217,0.001
2018,8,1,1,120,0.0261895,0.0648985,0.001
2018,8,1,1,130,0.0499551,0.0662417,0.001
2018,8,1,1,140,0.0998106,0.0727468,0.001
2018,8,1,1,150,0.0380723,0.078926,0.001
2018,8,1,1,160,0.0522791,0.0830266,0.001
2018,8,1,1,170,0.063,0.0871665,0.001
2018,8,1,1,180,0.0131445,0.0895712,0.001
2018,8,1,1,190,0.061838,0.0811946,0.001
2018,8,1,1,200,0.0380723,0.0596436,0.001
2018,8,1,1,210,9.97108e-05,0.0359159,0.001
2018,8,1,1,220,0.0131445,0.0199984,0.001
2018,8,1,1,230,0.0119825,0.0116117,0.001
2018,8,1,1,240,9.97108e-05,0.00682577,0.001
2018,8,1,1,250,9.97108e-05,0.0036897,0.001
2018,8,1,1,260,9.97108e-05,0.00174936,0.001
2018,8,1,1,270,9.97108e-05,0.000738678,0.001
2018,8,1,1,280,9.97108e-05,0.000307985,0.001
2018,8,1,1,290,9.97108e-05,0.000157408,0.001
2018,8,1,1,300,9.97108e-05,0.00011347,0.001
2018,8,1,1,310,9.97108e-05,0.000103411,0.001
2018,11,1,1,30,9.97108e-05,0.000103524,0.001
2018,11,1,1,40,9.97108e-05,0.00020964,0.001
2018,11,1,1,50,0.0651652,0.00162694,0.001
2018,11,1,1,60,0.0651652,0.00975014,0.001
2018,11,1,1,70,0.156716,0.028032,0.001
2018,11,1,1,80,0.0651652,0.0402981,0.001
2018,11,1,1,90,0.0262024,0.0397798,0.001
2018,11,1,1,100,9.97108e-05,0.0483963,0.001
2018,11,1,1,110,9.97108e-05,0.0660717,0.001
2018,11,1,1,120,0.0129597,0.073268,0.001
2018,11,1,1,130,0.0390624,0.0711095,0.001
2018,11,1,1,140,0.0193897,0.0716426,0.001
2018,11,1,1,150,0.0708296,0.076521,0.001
2018,11,1,1,160,0.180522,0.0814835,0.001
2018,11,1,1,170,0.0905023,0.0856482,0.001
2018,11,1,1,180,0.0776423,0.0874591,0.001
2018,11,1,1,190,0.0258196,0.0792499,0.001
2018,11,1,1,200,0.0386797,0.0585241,0.001
2018,11,1,1,210,9.97108e-05,0.0354768,0.001
2018,11,1,1,220,0.0519224,0.0198865,0.001
2018,11,1,1,230,9.97108e-05,0.0116288,0.001
2018,11,1,1,240,9.97108e-05,0.00688109,0.001
2018,11,1,1,250,9.97108e-05,0.00373772,0.001
2018,11,1,1,260,9.97108e-05,0.00177677,0.001
2018,11,1,1,270,0.0129597,0.000750379,0.001
2018,11,1,1,280,9.97108e-05,0.000311973,0.001
2018,11,1,1,290,9.97108e-05,0.00015855,0.001
2018,11,1,1,300,9.97108e-05,0.000113755,0.001
2018,11,1,1,310,9.97108e-05,0.000103495,0.001
2023,5,1,1,30,9.97108e-05,0.000514394,0.001
2023,5,1,1,40,9.97108e-05,0.00493379,0.001
2023,5,1,1,50,9.97108e-05,0.0180869,0.001
2023,5,1,1,60,0.00264407,0.0211676,0.001
2023,5,1,1,70,0.00215079,0.0138667,0.001
2023,5,1,1,80,9.97108e-05,0.0261177,0.001
2023,5,1,1,90,9.97108e-05,0.0534266,0.001
2023,5,1,1,100,0.00420187,0.0678278,0.001
2023,5,1,1,110,0.0230769,0.0628547,0.001
2023,5,1,1,120,0.0834669,0.0602791,0.001
2023,5,1,1,130,0.118179,0.0699054,0.001
2023,5,1,1,140,0.150997,0.0850484,0.001
2023,5,1,1,150,0.187371,0.0991788,0.001
2023,5,1,1,160,0.158889,0.104402,0.001
2023,5,1,1,170,0.0720691,0.0956646,0.001
2023,5,1,1,180,0.0536873,0.0774529,0.001
2023,5,1,1,190,0.019546,0.0563769,0.001
2023,5,1,1,200,0.0353055,0.036051,0.001
2023,5,1,1,210,0.0348122,0.02002,0.001
2023,5,1,1,220,0.0312813,0.0107407,0.001
2023,5,1,1,230,0.00773282,0.00652068,0.001
2023,5,1,1,240,0.0133928,0.00429182,0.001
2023,5,1,1,250,9.97108e-05,0.00262126,0.001
2023,5,1,1,260,9.97108e-05,0.00137632,0.001
2023,5,1,1,270,9.97108e-05,0.000629008,0.001
2023,5,1,1,280,9.97108e-05,0.000279662,0.001
2023,5,1,1,290,9.97108e-05,0.000150657,0.001
2023,5,1,1,300,9.97108e-05,0.000111943,0.001
2023,5,1,1,310,9.97108e-05,0.00010298,0.001
2023,8,1,1,30,9.97108e-05,0.000140582,0.001
2023,8,1,1,40,0.00631439,0.000948953,0.001
2023,8,1,1,50,0.0093024,0.00736464,0.001
2023,8,1,1,60,0.0415309,0.0243366,0.001
2023,8,1,1,70,0.0187437,0.033636,0.001
2023,8,1,1,80,0.00723083,0.0288361,0.001
2023,8,1,1,90,0.00308773,0.0397817,0.001
2023,8,1,1,100,0.00631439,0.0652981,0.001
2023,8,1,1,110,0.0374241,0.0766459,0.001
2023,8,1,1,120,0.0648298,0.0711149,0.001
2023,8,1,1,130,0.0897248,0.0691599,0.001
2023,8,1,1,140,0.139314,0.0777814,0.001
2023,8,1,1,150,0.205272,0.0909915,0.001
2023,8,1,1,160,0.177674,0.0992221,0.001
2023,8,1,1,170,0.0678999,0.0948022,0.001
2023,8,1,1,180,0.0416856,0.0789656,0.001
2023,8,1,1,190,0.00308773,0.0578333,0.001
2023,8,1,1,200,0.0179457,0.0366559,0.001
2023,8,1,1,210,0.0239217,0.0200896,0.001
2023,8,1,1,220,0.0266635,0.0106309,0.001
2023,8,1,1,230,0.00814729,0.0063854,0.001
2023,8,1,1,240,0.00308773,0.00419045,0.001
2023,8,1,1,250,9.97108e-05,0.00256669,0.001
2023,8,1,1,260,9.97108e-05,0.00135481,0.001
2023,8,1,1,270,9.97108e-05,0.000622901,0.001
2023,8,1,1,280,9.97108e-05,0.000278516,0.001
2023,8,1,1,290,9.97108e-05,0.000150581,0.001
2023,8,1,1,300,9.97108e-05,0.000111982,0.001
2023,8,1,1,310,9.97108e-05,0.000103009,0.001
1991,8,2,1,30,9.97108e-05,9.98341e-05,0.001
1991,8,2,1,40,9.97108e-05,0.000109195,0.001
1991,8,2,1,50,9.97108e-05,0.000343456,0.001
1991,8,2,1,60,9.97108e-05,0.00214912,0.001
1991,8,2,1,70,9.97108e-05,0.0064328,0.001
1991,8,2,1,80,9.97108e-05,0.0129597,0.001
1991,8,2,1,90,0.0141435,0.0361953,0.001
1991,8,2,1,100,9.97108e-05,0.0800278,0.001
1991,8,2,1,110,9.97108e-05,0.103583,0.001
1991,8,2,1,120,0.0422311,0.0913636,0.001
1991,8,2,1,130,0.0281873,0.0787999,0.001
1991,8,2,1,140,0.0703186,0.0741019,0.001
1991,8,2,1,150,0.168625,0.0714738,0.001
1991,8,2,1,160,0.196713,0.070292,0.001
1991,8,2,1,170,0.196713,0.071095,0.001
1991,8,2,1,180,0.0984062,0.0725898,0.001
1991,8,2,1,190,0.0703186,0.0702249,0.001
1991,8,2,1,200,0.0422311,0.0596737,0.001
1991,8,2,1,210,0.0281873,0.0440299,0.001
1991,8,2,1,220,0.0141435,0.0263129,0.001
1991,8,2,1,230,0.0141435,0.0115892,0.001
1991,8,2,1,240,0.0141435,0.00577282,0.001
1991,8,2,1,250,9.97108e-05,0.00407452,0.001
1991,8,2,1,260,9.97108e-05,0.00297478,0.001
1991,8,2,1,270,9.97108e-05,0.00188501,0.001
1991,8,2,1,280,9.97108e-05,0.00101017,0.001
1991,8,2,1,290,9.97108e-05,0.000474132,0.001
1991,8,2,1,300,9.97108e-05,0.000222456,0.001
1991,8,2,1,310,9.97108e-05,0.000139212,0.001
1993,8,2,1,30,9.97108e-05,9.98527e-05,0.001
1993,8,2,1,40,9.97108e-05,0.000110623,0.001
1993,8,2,1,50,9.97108e-05,0.000379867,0.001
1993,8,2,1,60,0.00782853,0.00244219,0.001
1993,8,2,1,70,0.0273806,0.0070625,0.001
1993,8,2,1,80,9.97108e-05,0.0117945,0.001
1993,8,2,1,90,0.00782853,0.0273325,0.001
1993,8,2,1,100,0.0505669,0.0591223,0.001
1993,8,2,1,110,0.0855766,0.0787852,0.001
1993,8,2,1,120,0.0582957,0.0754638,0.001
1993,8,2,1,130,0.0582957,0.0750086,0.001
1993,8,2,1,140,0.0432984,0.082252,0.001
1993,8,2,1,150,0.101494,0.0888396,0.001
1993,8,2,1,160,0.152882,0.0901435,0.001
1993,8,2,1,170,0.105129,0.0868968,0.001
1993,8,2,1,180,0.0623902,0.0819668,0.001
1993,8,2,1,190,0.0737533,0.0743371,0.001
1993,8,2,1,200,0.0901312,0.0607539,0.001
1993,8,2,1,210,0.0273806,0.0438325,0.001
1993,8,2,1,220,0.0310148,0.0258585,0.001
1993,8,2,1,230,0.00782853,0.0113316,0.001
1993,8,2,1,240,9.97108e-05,0.00564529,0.001
1993,8,2,1,250,9.97108e-05,0.00398538,0.001
1993,8,2,1,260,9.97108e-05,0.00290712,0.001
1993,8,2,1,270,0.00782853,0.00184033,0.001
1993,8,2,1,280,9.97108e-05,0.000986269,0.001
1993,8,2,1,290,9.97108e-05,0.000464026,0.001
1993,8,2,1,300,9.97108e-05,0.000219106,0.001
1993,8,2,1,310,9.97108e-05,0.000138137,0.001
1995,8,2,1,30,9.97108e-05,9.9809e-05,0.001
1995,8,2,1,40,9.97108e-05,0.000107263,0.001
1995,8,2,1,50,9.97108e-05,0.000293728,0.001
1995,8,2,1,60,9.97108e-05,0.00172833,0.001
1995,8,2,1,70,0.0681534,0.00507643,0.001
1995,8,2,1,80,9.97108e-05,0.0097196,0.001
1995,8,2,1,90,0.0341265,0.0261268,0.001
1995,8,2,1,100,0.0715245,0.0584516,0.001
1995,8,2,1,110,0.0951225,0.0794538,0.001
1995,8,2,1,120,0.0850091,0.0773704,0.001
1995,8,2,1,130,0.0644668,0.0748748,0.001
1995,8,2,1,140,0.0577245,0.076454,0.001
1995,8,2,1,150,0.03044,0.0783486,0.001
1995,8,2,1,160,0.0712091,0.0813724,0.001
1995,8,2,1,170,0.132205,0.0858637,0.001
1995,8,2,1,180,0.0644668,0.0885884,0.001
1995,8,2,1,190,0.0371823,0.0836765,0.001
1995,8,2,1,200,0.122407,0.0684026,0.001
1995,8,2,1,210,0.0543533,0.0484716,0.001
1995,8,2,1,220,0.00684195,0.0277613,0.001
1995,8,2,1,230,9.97108e-05,0.0117117,0.001
1995,8,2,1,240,0.00347087,0.00566193,0.001
1995,8,2,1,250,9.97108e-05,0.00394084,0.001
1995,8,2,1,260,9.97108e-05,0.00285946,0.001
1995,8,2,1,270,9.97108e-05,0.00180673,0.001
1995,8,2,1,280,9.97108e-05,0.000967909,0.001
1995,8,2,1,290,9.97108e-05,0.000456067,0.001
1995,8,2,1,300,9.97108e-05,0.000216383,0.001
1995,8,2,1,310,9.97108e-05,0.000137226,0.001
1996,8,2,1,30,9.97108e-05,9.97871e-05,0.001
1996,8,2,1,40,9.97108e-05,0.000105573,0.001
1996,8,2,1,50,0.00489939,0.000250274,0.001
1996,8,2,1,60,9.97108e-05,0.00136153,0.001
1996,8,2,1,70,0.024098,0.00391315,0.001
1996,8,2,1,80,0.00489939,0.00710981,0.001
1996,8,2,1,90,0.0144987,0.0184393,0.001
1996,8,2,1,100,0.00664622,0.0427223,0.001
1996,8,2,1,110,0.067736,0.0640694,0.001
1996,8,2,1,120,0.0371911,0.0724174,0.001
1996,8,2,1,130,0.0515901,0.0780858,0.001
1996,8,2,1,140,0.131013,0.0818077,0.001
1996,8,2,1,150,0.0982808,0.0829606,0.001
1996,8,2,1,160,0.0642423,0.085215,0.001
1996,8,2,1,170,0.129267,0.0896107,0.001
1996,8,2,1,180,0.095228,0.0930158,0.001
1996,8,2,1,190,0.0568306,0.0891753,0.001
1996,8,2,1,200,0.0699236,0.0743122,0.001
1996,8,2,1,210,0.0489781,0.0537478,0.001
1996,8,2,1,220,0.0288977,0.0312152,0.001
1996,8,2,1,230,0.0293386,0.0131031,0.001
1996,8,2,1,240,0.00969907,0.00620415,0.001
1996,8,2,1,250,0.00969907,0.00424057,0.001
1996,8,2,1,260,0.00489939,0.00304515,0.001
1996,8,2,1,270,0.0114459,0.00191289,0.001
1996,8,2,1,280,9.97108e-05,0.0010199,0.001
1996,8,2,1,290,9.97108e-05,0.000476994,0.001
1996,8,2,1,300,9.97108e-05,0.000223151,0.001
1996,8,2,1,310,9.97108e-05,0.000139378,0.001
2014,5,2,1,30,9.97108e-05,0.000100202,0.001
2014,5,2,1,40,9.97108e-05,0.000120541,0.001
2014,5,2,1,50,9.97108e-05,0.000327483,0.001
2014,5,2,1,60,9.97108e-05,0.00081377,0.001
2014,5,2,1,70,9.97108e-05,0.00195501,0.001
2014,5,2,1,80,0.0201825,0.00973405,0.001
2014,5,2,1,90,0.117785,0.0315822,0.001
2014,5,2,1,100,0.120596,0.0563996,0.001
2014,5,2,1,110,0.246214,0.0697356,0.001
2014,5,2,1,120,0.0668747,0.0747891,0.001
2014,5,2,1,130,0.125717,0.0770261,0.001
2014,5,2,1,140,0.109852,0.0770533,0.001
2014,5,2,1,150,0.0309268,0.079218,0.001
2014,5,2,1,160,0.0323326,0.0853362,0.001
2014,5,2,1,170,0.0631596,0.0916516,0.001
2014,5,2,1,180,0.0430769,0.0928744,0.001
2014,5,2,1,190,9.97108e-05,0.0847074,0.001
2014,5,2,1,200,9.97108e-05,0.0672218,0.001
2014,5,2,1,210,0.010844,0.0471266,0.001
2014,5,2,1,220,9.97108e-05,0.0270801,0.001
2014,5,2,1,230,0.010844,0.0112634,0.001
2014,5,2,1,240,9.97108e-05,0.00517903,0.001
2014,5,2,1,250,9.97108e-05,0.00339771,0.001
2014,5,2,1,260,9.97108e-05,0.00236051,0.001
2014,5,2,1,270,9.97108e-05,0.00146022,0.001
2014,5,2,1,280,9.97108e-05,0.000783898,0.001
2014,5,2,1,290,9.97108e-05,0.00038034,0.001
2014,5,2,1,300,9.97108e-05,0.000192058,0.001
2014,5,2,1,310,9.97108e-05,0.000129684,0.001
2015,5,2,1,30,9.97108e-05,0.000100905,0.001
2015,5,2,1,40,9.97108e-05,0.000150273,0.001
2015,5,2,1,50,9.97108e-05,0.000647935,0.001
2015,5,2,1,60,0.0825881,0.00165252,0.001
2015,5,2,1,70,0.0193966,0.00185838,0.001
2015,5,2,1,80,9.97108e-05,0.00465689,0.001
2015,5,2,1,90,9.97108e-05,0.0151992,0.001
2015,5,2,1,100,0.00761258,0.031779,0.001
2015,5,2,1,110,0.0118838,0.0511704,0.001
2015,5,2,1,120,0.0740457,0.0680735,0.001
